gender,race_ethnicity,parental_level_of_education,test_preparation_course,math_score,reading_score,writing_score
male,group C,bachelor's degree,none,79,56,36
male,group C,associate's degree,completed,67,99,48
male,group D,some college,completed,83,25,100
male,group D,some high school,completed,12,50,25
male,group D,associate's degree,none,83,16,34
female,group A,high school,completed,87,94,30
male,group D,bachelor's degree,completed,29,32,23
male,group B,associate's degree,completed,39,42,32
male,group A,bachelor's degree,none,20,65,32
female,group B,high school,none,71,83,28
female,group C,associate's degree,completed,91,38,58
female,group A,bachelor's degree,completed,33,20,35
male,group B,high school,none,66,17,36
female,group B,some college,none,40,61,29
male,group B,high school,none,38,47,81
female,group C,high school,none,82,42,88
male,group C,master's degree,none,61,98,53
female,group B,associate's degree,none,60,84,46
female,group B,some college,completed,55,88,22
male,group C,high school,none,84,12,72
male,group D,some college,completed,40,80,64
male,group A,bachelor's degree,none,21,35,75
female,group B,associate's degree,completed,15,56,45
male,group B,high school,none,71,69,11
female,group D,some college,none,36,64,87
male,group B,master's degree,none,86,11,55
male,group D,high school,completed,10,46,60
female,group B,master's degree,completed,34,85,42
male,group C,associate's degree,completed,17,15,22
male,group B,some college,none,55,35,31
female,group C,some high school,none,20,69,12
male,group C,bachelor's degree,none,49,88,20
male,group C,bachelor's degree,completed,13,79,82
male,group A,some high school,completed,58,92,61
female,group D,some high school,none,11,33,99
female,group B,associate's degree,completed,12,17,76
female,group A,high school,completed,67,13,64
male,group B,bachelor's degree,none,52,65,78
male,group A,bachelor's degree,none,10,35,37
male,group C,some college,completed,100,48,85
female,group B,associate's degree,completed,80,25,68
female,group A,some college,none,74,46,95
male,group A,high school,completed,97,63,15
male,group D,some high school,none,59,45,18
male,group A,some high school,completed,24,63,50
female,group B,bachelor's degree,completed,11,56,15
female,group C,associate's degree,none,21,100,59
female,group D,master's degree,none,70,90,47
male,group A,bachelor's degree,none,62,56,32
male,group B,high school,none,17,46,94
male,group D,high school,completed,42,99,69
female,group D,associate's degree,completed,95,88,71
female,group C,high school,completed,18,32,28
male,group A,some high school,none,82,36,95
male,group A,master's degree,completed,66,31,38
female,group B,some college,completed,40,95,56
female,group A,some high school,none,48,28,94
female,group D,bachelor's degree,completed,40,11,55
male,group D,associate's degree,completed,29,24,84
female,group C,master's degree,none,19,79,59
male,group B,some high school,none,51,47,13
female,group A,some high school,completed,23,95,58
male,group D,associate's degree,none,73,23,39
male,group D,bachelor's degree,none,26,35,94
female,group C,some college,completed,23,80,64
female,group A,some high school,completed,90,16,22
male,group C,some high school,none,79,24,36
male,group A,bachelor's degree,none,81,40,69
male,group C,bachelor's degree,completed,56,27,48
male,group B,some college,none,83,12,65
male,group C,some college,completed,86,25,99
male,group B,bachelor's degree,none,44,30,70
male,group B,some high school,completed,76,53,39
male,group A,high school,none,82,81,33
female,group D,some college,completed,94,62,66
female,group B,bachelor's degree,completed,55,75,26
female,group D,some college,none,28,65,82
female,group D,master's degree,completed,41,77,46
male,group A,high school,none,29,10,60
male,group A,some high school,completed,51,51,95
female,group C,bachelor's degree,none,54,88,20
female,group A,associate's degree,completed,36,92,48
male,group D,high school,none,88,13,38
female,group C,some high school,completed,76,41,46
female,group A,some high school,none,39,69,82
male,group C,associate's degree,completed,34,26,43
male,group B,master's degree,completed,67,36,22
male,group D,some high school,none,12,66,26
female,group B,some college,completed,16,37,11
male,group C,associate's degree,completed,35,49,46
female,group C,associate's degree,none,50,69,52
male,group A,associate's degree,none,35,88,20
male,group D,some college,none,39,66,27
female,group B,master's degree,none,22,25,59
male,group A,bachelor's degree,none,82,51,52
male,group B,associate's degree,completed,64,81,60
female,group B,bachelor's degree,completed,29,56,74
male,group A,some high school,completed,57,43,57
male,group A,associate's degree,none,55,66,98
male,group D,master's degree,none,70,72,97
female,group D,some college,completed,41,47,72
male,group B,some college,none,88,73,74
female,group C,bachelor's degree,completed,16,99,30
male,group C,some college,completed,79,74,21
female,group D,some high school,completed,49,39,17
female,group A,some high school,none,65,20,55
female,group B,high school,none,30,30,37
male,group D,some college,none,39,100,82
male,group B,master's degree,none,84,47,25
male,group D,high school,none,20,14,14
male,group B,some college,completed,46,64,94
female,group C,associate's degree,none,30,84,43
male,group D,master's degree,completed,56,98,97
female,group A,associate's degree,completed,64,51,21
female,group D,some high school,none,84,27,88
male,group B,some high school,completed,60,30,67
female,group B,high school,completed,27,80,35
male,group D,some college,none,71,83,53
male,group A,master's degree,none,22,40,77
female,group A,associate's degree,none,93,31,85
male,group D,some college,none,17,71,61
male,group B,high school,completed,54,84,18
female,group C,some college,completed,30,83,36
male,group C,associate's degree,none,66,39,94
female,group A,master's degree,completed,20,42,86
male,group D,associate's degree,completed,88,23,49
female,group B,high school,completed,86,86,20
female,group B,bachelor's degree,none,30,24,37
male,group B,some high school,completed,58,51,45
female,group A,bachelor's degree,none,30,77,12
male,group B,master's degree,completed,14,87,90
male,group A,some college,completed,72,100,59
male,group D,bachelor's degree,completed,26,78,97
male,group A,associate's degree,none,21,71,68
female,group A,master's degree,none,34,89,56
male,group B,associate's degree,completed,62,38,52
male,group A,master's degree,completed,65,14,88
female,group C,bachelor's degree,completed,85,23,75
female,group A,bachelor's degree,completed,75,17,98
male,group C,some college,none,10,72,79
female,group A,bachelor's degree,completed,48,32,47
female,group B,high school,completed,61,95,11
male,group C,master's degree,completed,68,66,48
male,group D,bachelor's degree,none,76,42,10
male,group C,high school,completed,42,92,37
female,group D,some high school,none,15,80,60
female,group A,some high school,none,16,31,46
male,group C,bachelor's degree,none,82,49,78
male,group C,associate's degree,none,61,47,69
female,group B,some high school,completed,69,63,76
male,group A,bachelor's degree,none,40,72,36
male,group D,high school,none,47,32,82
female,group C,high school,completed,11,62,68
male,group A,some college,none,76,35,93
female,group B,associate's degree,completed,42,84,28
male,group D,high school,completed,70,91,44
male,group A,associate's degree,none,76,28,33
male,group A,master's degree,none,87,33,81
female,group B,some college,completed,95,76,51
female,group B,master's degree,none,59,35,89
male,group A,high school,completed,22,81,83
male,group C,master's degree,completed,64,62,40
